study,site,country,virus.type,month,cases
Dominguez 2009,Colorado,USA,229E,3,4
Dominguez 2009,Colorado,USA,229E,4,1
Dominguez 2009,Colorado,USA,229E,5,4
Dominguez 2009,Colorado,USA,229E,6,1
Dominguez 2009,Colorado,USA,229E,7,0
Dominguez 2009,Colorado,USA,229E,8,0
Dominguez 2009,Colorado,USA,229E,9,0
Dominguez 2009,Colorado,USA,229E,10,0
Dominguez 2009,Colorado,USA,229E,11,0
Dominguez 2009,Colorado,USA,OC43,12,1
Dominguez 2009,Colorado,USA,OC43,1,9
Dominguez 2009,Colorado,USA,OC43,2,11
Dominguez 2009,Colorado,USA,OC43,3,8
Dominguez 2009,Colorado,USA,OC43,4,3
Dominguez 2009,Colorado,USA,OC43,5,1
Dominguez 2009,Colorado,USA,OC43,6,0
Dominguez 2009,Colorado,USA,OC43,7,0
Dominguez 2009,Colorado,USA,OC43,8,0
Dominguez 2009,Colorado,USA,OC43,9,0
Dominguez 2009,Colorado,USA,OC43,10,0
Dominguez 2009,Colorado,USA,OC43,11,1
Dominguez 2009,Colorado,USA,NL63,12,1
Dominguez 2009,Colorado,USA,NL63,1,8
Dominguez 2009,Colorado,USA,NL63,2,13
Dominguez 2009,Colorado,USA,NL63,3,7
Dominguez 2009,Colorado,USA,NL63,4,3
Dominguez 2009,Colorado,USA,NL63,5,1
Dominguez 2009,Colorado,USA,NL63,6,0
Dominguez 2009,Colorado,USA,NL63,7,0
Dominguez 2009,Colorado,USA,NL63,8,0
Dominguez 2009,Colorado,USA,NL63,9,1
Dominguez 2009,Colorado,USA,NL63,10,0
Dominguez 2009,Colorado,USA,NL63,11,3
Dominguez 2009,Colorado,USA,HKU1,12,0
Dominguez 2009,Colorado,USA,HKU1,1,0
Dominguez 2009,Colorado,USA,HKU1,2,1
Dominguez 2009,Colorado,USA,HKU1,3,0
Dominguez 2009,Colorado,USA,HKU1,4,1
Dominguez 2009,Colorado,USA,HKU1,5,0
Dominguez 2009,Colorado,USA,HKU1,6,0
Dominguez 2009,Colorado,USA,HKU1,7,0
Dominguez 2009,Colorado,USA,HKU1,8,0
Dominguez 2009,Colorado,USA,HKU1,9,0
Dominguez 2009,Colorado,USA,HKU1,10,0
Dominguez 2009,Colorado,USA,HKU1,11,0
